county,tract,bg,STATE,pumano,countyname,statename
int,int,int,int,int,text,text
1,0,0,1,2000,Autauga, Alabama
3,0,0,1,0,Baldwin, Alabama
5,0,0,1,0,Barbour, Alabama
7,0,0,1,0,Bibb, Alabama
9,0,0,1,0,Blount, Alabama
13,0,0,1,0,Butler, Alabama
15,0,0,1,0,Calhoun, Alabama
17,0,0,1,0,Chambers, Alabama
19,0,0,1,0,Cherokee, Alabama
21,0,0,1,0,Chilton, Alabama
25,0,0,1,0,Clarke, Alabama
31,0,0,1,0,Coffee, Alabama
33,0,0,1,0,Colbert, Alabama
39,0,0,1,0,Covington, Alabama
43,0,0,1,0,Cullman, Alabama
45,0,0,1,0,Dale, Alabama
47,0,0,1,0,Dallas, Alabama
49,0,0,1,0,DeKalb, Alabama
51,0,0,1,0,Elmore, Alabama
53,0,0,1,0,Escambia, Alabama
55,0,0,1,0,Etowah, Alabama
59,0,0,1,0,Franklin, Alabama
61,0,0,1,0,Geneva, Alabama
69,0,0,1,0,Houston, Alabama
71,0,0,1,0,Jackson, Alabama
73,0,0,1,0,Jefferson, Alabama
77,0,0,1,0,Lauderdale, Alabama
79,0,0,1,0,Lawrence, Alabama
81,0,0,1,0,Lee, Alabama
83,0,0,1,0,Limestone, Alabama
87,0,0,1,0,Macon, Alabama
89,0,0,1,0,Madison, Alabama
91,0,0,1,0,Marengo, Alabama
93,0,0,1,0,Marion, Alabama
95,0,0,1,0,Marshall, Alabama
97,0,0,1,0,Mobile, Alabama
99,0,0,1,0,Monroe, Alabama
101,0,0,1,0,Montgomery, Alabama
103,0,0,1,0,Morgan, Alabama
109,0,0,1,0,Pike, Alabama
111,0,0,1,0,Randolph, Alabama
113,0,0,1,0,Russell, Alabama
115,0,0,1,0,St. Clair, Alabama
117,0,0,1,0,Shelby, Alabama
121,0,0,1,0,Talladega, Alabama
123,0,0,1,0,Tallapoosa, Alabama
125,0,0,1,0,Tuscaloosa, Alabama
127,0,0,1,0,Walker, Alabama
133,0,0,1,0,Winston, Alabama
20,0,0,2,0,Anchorage Municipality, Alaska
90,0,0,2,0,Fairbanks North Star Borough, Alaska
110,0,0,2,0,Juneau City and Borough, Alaska
122,0,0,2,0,Kenai Peninsula Borough, Alaska
170,0,0,2,0,Matanuska-Susitna Borough, Alaska
1,0,0,4,0,Apache, Arizona
3,0,0,4,0,Cochise, Arizona
5,0,0,4,0,Coconino, Arizona
7,0,0,4,0,Gila, Arizona
9,0,0,4,0,Graham, Arizona
12,0,0,4,0,La Paz, Arizona
13,0,0,4,0,Maricopa, Arizona
15,0,0,4,0,Mohave, Arizona
17,0,0,4,0,Navajo, Arizona
19,0,0,4,0,Pima, Arizona
21,0,0,4,0,Pinal, Arizona
23,0,0,4,0,Santa Cruz, Arizona
25,0,0,4,0,Yavapai, Arizona
27,0,0,4,0,Yuma, Arizona
3,0,0,5,0,Ashley, Arkansas
5,0,0,5,0,Baxter, Arkansas
7,0,0,5,0,Benton, Arkansas
9,0,0,5,0,Boone, Arkansas
15,0,0,5,0,Carroll, Arkansas
19,0,0,5,0,Clark, Arkansas
23,0,0,5,0,Cleburne, Arkansas
27,0,0,5,0,Columbia, Arkansas
29,0,0,5,0,Conway, Arkansas
31,0,0,5,0,Craighead, Arkansas
33,0,0,5,0,Crawford, Arkansas
35,0,0,5,0,Crittenden, Arkansas
45,0,0,5,0,Faulkner, Arkansas
51,0,0,5,0,Garland, Arkansas
55,0,0,5,0,Greene, Arkansas
57,0,0,5,0,Hempstead, Arkansas
59,0,0,5,0,Hot Spring, Arkansas
63,0,0,5,0,Independence, Arkansas
69,0,0,5,0,Jefferson, Arkansas
71,0,0,5,0,Johnson, Arkansas
83,0,0,5,0,Logan, Arkansas
85,0,0,5,0,Lonoke, Arkansas
91,0,0,5,0,Miller, Arkansas
93,0,0,5,0,Mississippi, Arkansas
103,0,0,5,0,Ouachita, Arkansas
107,0,0,5,0,Phillips, Arkansas
111,0,0,5,0,Poinsett, Arkansas
113,0,0,5,0,Polk, Arkansas
115,0,0,5,0,Pope, Arkansas
119,0,0,5,0,Pulaski, Arkansas
123,0,0,5,0,St. Francis, Arkansas
125,0,0,5,0,Saline, Arkansas
131,0,0,5,0,Sebastian, Arkansas
139,0,0,5,0,Union, Arkansas
143,0,0,5,0,Washington, Arkansas
145,0,0,5,0,White, Arkansas
149,0,0,5,0,Yell, Arkansas
1,0,0,6,0,Alameda, California
5,0,0,6,0,Amador, California
7,0,0,6,0,Butte, California
9,0,0,6,0,Calaveras, California
11,0,0,6,0,Colusa, California
13,0,0,6,0,Contra Costa, California
15,0,0,6,0,Del Norte, California
17,0,0,6,0,El Dorado, California
19,0,0,6,0,Fresno, California
21,0,0,6,0,Glenn, California
23,0,0,6,0,Humboldt, California
25,0,0,6,0,Imperial, California
29,0,0,6,0,Kern, California
31,0,0,6,0,Kings, California
33,0,0,6,0,Lake, California
35,0,0,6,0,Lassen, California
37,0,0,6,0,Los Angeles, California
39,0,0,6,0,Madera, California
41,0,0,6,0,Marin, California
45,0,0,6,0,Mendocino, California
47,0,0,6,0,Merced, California
53,0,0,6,0,Monterey, California
55,0,0,6,0,Napa, California
57,0,0,6,0,Nevada, California
59,0,0,6,0,Orange, California
61,0,0,6,0,Placer, California
63,0,0,6,0,Plumas, California
65,0,0,6,0,Riverside, California
67,0,0,6,0,Sacramento, California
69,0,0,6,0,San Benito, California
71,0,0,6,0,San Bernardino, California
73,0,0,6,0,San Diego, California
75,0,0,6,0,San Francisco, California
77,0,0,6,0,San Joaquin, California
79,0,0,6,0,San Luis Obispo, California
81,0,0,6,0,San Mateo, California
83,0,0,6,0,Santa Barbara, California
85,0,0,6,0,Santa Clara, California
87,0,0,6,0,Santa Cruz, California
89,0,0,6,0,Shasta, California
93,0,0,6,0,Siskiyou, California
95,0,0,6,0,Solano, California
97,0,0,6,0,Sonoma, California
99,0,0,6,0,Stanislaus, California
101,0,0,6,0,Sutter, California
103,0,0,6,0,Tehama, California
107,0,0,6,0,Tulare, California
109,0,0,6,0,Tuolumne, California
111,0,0,6,0,Ventura, California
113,0,0,6,0,Yolo, California
115,0,0,6,0,Yuba, California
1,0,0,8,0,Adams, Colorado
5,0,0,8,0,Arapahoe, Colorado
13,0,0,8,0,Boulder, Colorado
14,0,0,8,0,Broomfield, Colorado
29,0,0,8,0,Delta, Colorado
31,0,0,8,0,Denver, Colorado
35,0,0,8,0,Douglas, Colorado
37,0,0,8,0,Eagle, Colorado
39,0,0,8,0,Elbert, Colorado
41,0,0,8,0,El Paso, Colorado
43,0,0,8,0,Fremont, Colorado
45,0,0,8,0,Garfield, Colorado
59,0,0,8,0,Jefferson, Colorado
67,0,0,8,0,La Plata, Colorado
69,0,0,8,0,Larimer, Colorado
75,0,0,8,0,Logan, Colorado
77,0,0,8,0,Mesa, Colorado
83,0,0,8,0,Montezuma, Colorado
85,0,0,8,0,Montrose, Colorado
87,0,0,8,0,Morgan, Colorado
101,0,0,8,0,Pueblo, Colorado
107,0,0,8,0,Routt, Colorado
117,0,0,8,0,Summit, Colorado
119,0,0,8,0,Teller, Colorado
123,0,0,8,0,Weld, Colorado
1,0,0,9,0,Fairfield, Connecticut
3,0,0,9,0,Hartford, Connecticut
5,0,0,9,0,Litchfield, Connecticut
7,0,0,9,0,Middlesex, Connecticut
9,0,0,9,0,New Haven, Connecticut
11,0,0,9,0,New London, Connecticut
13,0,0,9,0,Tolland, Connecticut
15,0,0,9,0,Windham, Connecticut
1,0,0,10,0,Kent, Delaware
3,0,0,10,0,New Castle, Delaware
5,0,0,10,0,Sussex, Delaware
1,0,0,11,0,District of Columbia , District of Columbia
1,0,0,12,0,Alachua, Florida
3,0,0,12,0,Baker, Florida
5,0,0,12,0,Bay, Florida
7,0,0,12,0,Bradford, Florida
9,0,0,12,0,Brevard, Florida
11,0,0,12,0,Broward, Florida
15,0,0,12,0,Charlotte, Florida
17,0,0,12,0,Citrus, Florida
19,0,0,12,0,Clay, Florida
21,0,0,12,0,Collier, Florida
23,0,0,12,0,Columbia, Florida
27,0,0,12,0,DeSoto, Florida
31,0,0,12,0,Duval, Florida
33,0,0,12,0,Escambia, Florida
35,0,0,12,0,Flagler, Florida
39,0,0,12,0,Gadsden, Florida
49,0,0,12,0,Hardee, Florida
51,0,0,12,0,Hendry, Florida
53,0,0,12,0,Hernando, Florida
55,0,0,12,0,Highlands, Florida
57,0,0,12,0,Hillsborough, Florida
61,0,0,12,0,Indian River, Florida
63,0,0,12,0,Jackson, Florida
69,0,0,12,0,Lake, Florida
71,0,0,12,0,Lee, Florida
73,0,0,12,0,Leon, Florida
75,0,0,12,0,Levy, Florida
81,0,0,12,0,Manatee, Florida
83,0,0,12,0,Marion, Florida
85,0,0,12,0,Martin, Florida
86,0,0,12,0,Miami-Dade, Florida
87,0,0,12,0,Monroe, Florida
89,0,0,12,0,Nassau, Florida
91,0,0,12,0,Okaloosa, Florida
93,0,0,12,0,Okeechobee, Florida
95,0,0,12,0,Orange, Florida
97,0,0,12,0,Osceola, Florida
99,0,0,12,0,Palm Beach, Florida
101,0,0,12,0,Pasco, Florida
103,0,0,12,0,Pinellas, Florida
105,0,0,12,0,Polk, Florida
107,0,0,12,0,Putnam, Florida
109,0,0,12,0,St. Johns, Florida
111,0,0,12,0,St. Lucie, Florida
113,0,0,12,0,Santa Rosa, Florida
115,0,0,12,0,Sarasota, Florida
117,0,0,12,0,Seminole, Florida
119,0,0,12,0,Sumter, Florida
121,0,0,12,0,Suwannee, Florida
127,0,0,12,0,Volusia, Florida
129,0,0,12,0,Wakulla, Florida
131,0,0,12,0,Walton, Florida
133,0,0,12,0,Washington, Florida
9,0,0,13,0,Baldwin, Georgia
13,0,0,13,0,Barrow, Georgia
15,0,0,13,0,Bartow, Georgia
21,0,0,13,0,Bibb, Georgia
29,0,0,13,0,Bryan, Georgia
31,0,0,13,0,Bulloch, Georgia
33,0,0,13,0,Burke, Georgia
35,0,0,13,0,Butts, Georgia
39,0,0,13,0,Camden, Georgia
45,0,0,13,0,Carroll, Georgia
47,0,0,13,0,Catoosa, Georgia
51,0,0,13,0,Chatham, Georgia
55,0,0,13,0,Chattooga, Georgia
57,0,0,13,0,Cherokee, Georgia
59,0,0,13,0,Clarke, Georgia
63,0,0,13,0,Clayton, Georgia
67,0,0,13,0,Cobb, Georgia
69,0,0,13,0,Coffee, Georgia
71,0,0,13,0,Colquitt, Georgia
73,0,0,13,0,Columbia, Georgia
77,0,0,13,0,Coweta, Georgia
81,0,0,13,0,Crisp, Georgia
85,0,0,13,0,Dawson, Georgia
87,0,0,13,0,Decatur, Georgia
89,0,0,13,0,DeKalb, Georgia
91,0,0,13,0,Dodge, Georgia
95,0,0,13,0,Dougherty, Georgia
97,0,0,13,0,Douglas, Georgia
103,0,0,13,0,Effingham, Georgia
105,0,0,13,0,Elbert, Georgia
107,0,0,13,0,Emanuel, Georgia
111,0,0,13,0,Fannin, Georgia
113,0,0,13,0,Fayette, Georgia
115,0,0,13,0,Floyd, Georgia
117,0,0,13,0,Forsyth, Georgia
119,0,0,13,0,Franklin, Georgia
121,0,0,13,0,Fulton, Georgia
123,0,0,13,0,Gilmer, Georgia
127,0,0,13,0,Glynn, Georgia
129,0,0,13,0,Gordon, Georgia
131,0,0,13,0,Grady, Georgia
135,0,0,13,0,Gwinnett, Georgia
137,0,0,13,0,Habersham, Georgia
139,0,0,13,0,Hall, Georgia
143,0,0,13,0,Haralson, Georgia
145,0,0,13,0,Harris, Georgia
147,0,0,13,0,Hart, Georgia
151,0,0,13,0,Henry, Georgia
153,0,0,13,0,Houston, Georgia
157,0,0,13,0,Jackson, Georgia
169,0,0,13,0,Jones, Georgia
175,0,0,13,0,Laurens, Georgia
177,0,0,13,0,Lee, Georgia
179,0,0,13,0,Liberty, Georgia
185,0,0,13,0,Lowndes, Georgia
187,0,0,13,0,Lumpkin, Georgia
189,0,0,13,0,McDuffie, Georgia
195,0,0,13,0,Madison, Georgia
199,0,0,13,0,Meriwether, Georgia
205,0,0,13,0,Mitchell, Georgia
207,0,0,13,0,Monroe, Georgia
213,0,0,13,0,Murray, Georgia
215,0,0,13,0,Muscogee, Georgia
217,0,0,13,0,Newton, Georgia
219,0,0,13,0,Oconee, Georgia
223,0,0,13,0,Paulding, Georgia
225,0,0,13,0,Peach, Georgia
227,0,0,13,0,Pickens, Georgia
233,0,0,13,0,Polk, Georgia
237,0,0,13,0,Putnam, Georgia
245,0,0,13,0,Richmond, Georgia
247,0,0,13,0,Rockdale, Georgia
255,0,0,13,0,Spalding, Georgia
257,0,0,13,0,Stephens, Georgia
261,0,0,13,0,Sumter, Georgia
267,0,0,13,0,Tattnall, Georgia
275,0,0,13,0,Thomas, Georgia
277,0,0,13,0,Tift, Georgia
279,0,0,13,0,Toombs, Georgia
285,0,0,13,0,Troup, Georgia
291,0,0,13,0,Union, Georgia
293,0,0,13,0,Upson, Georgia
295,0,0,13,0,Walker, Georgia
297,0,0,13,0,Walton, Georgia
299,0,0,13,0,Ware, Georgia
303,0,0,13,0,Washington, Georgia
305,0,0,13,0,Wayne, Georgia
311,0,0,13,0,White, Georgia
313,0,0,13,0,Whitfield, Georgia
321,0,0,13,0,Worth, Georgia
1,0,0,15,0,Hawaii, Hawaii
3,0,0,15,0,Honolulu, Hawaii
7,0,0,15,0,Kauai, Hawaii
9,0,0,15,0,Maui, Hawaii
1,0,0,16,0,Ada, Idaho
5,0,0,16,0,Bannock, Idaho
11,0,0,16,0,Bingham, Idaho
13,0,0,16,0,Blaine, Idaho
17,0,0,16,0,Bonner, Idaho
19,0,0,16,0,Bonneville, Idaho
27,0,0,16,0,Canyon, Idaho
31,0,0,16,0,Cassia, Idaho
39,0,0,16,0,Elmore, Idaho
51,0,0,16,0,Jefferson, Idaho
53,0,0,16,0,Jerome, Idaho
55,0,0,16,0,Kootenai, Idaho
57,0,0,16,0,Latah, Idaho
65,0,0,16,0,Madison, Idaho
69,0,0,16,0,Nez Perce, Idaho
75,0,0,16,0,Payette, Idaho
83,0,0,16,0,Twin Falls, Idaho
1,0,0,17,0,Adams, Illinois
7,0,0,17,0,Boone, Illinois
11,0,0,17,0,Bureau, Illinois
19,0,0,17,0,Champaign, Illinois
21,0,0,17,0,Christian, Illinois
27,0,0,17,0,Clinton, Illinois
29,0,0,17,0,Coles, Illinois
31,0,0,17,0,Cook, Illinois
37,0,0,17,0,DeKalb, Illinois
43,0,0,17,0,DuPage, Illinois
49,0,0,17,0,Effingham, Illinois
51,0,0,17,0,Fayette, Illinois
55,0,0,17,0,Franklin, Illinois
57,0,0,17,0,Fulton, Illinois
63,0,0,17,0,Grundy, Illinois
73,0,0,17,0,Henry, Illinois
75,0,0,17,0,Iroquois, Illinois
77,0,0,17,0,Jackson, Illinois
81,0,0,17,0,Jefferson, Illinois
83,0,0,17,0,Jersey, Illinois
85,0,0,17,0,Jo Daviess, Illinois
89,0,0,17,0,Kane, Illinois
91,0,0,17,0,Kankakee, Illinois
93,0,0,17,0,Kendall, Illinois
95,0,0,17,0,Knox, Illinois
97,0,0,17,0,Lake, Illinois
99,0,0,17,0,LaSalle, Illinois
103,0,0,17,0,Lee, Illinois
105,0,0,17,0,Livingston, Illinois
107,0,0,17,0,Logan, Illinois
109,0,0,17,0,McDonough, Illinois
111,0,0,17,0,McHenry, Illinois
113,0,0,17,0,McLean, Illinois
115,0,0,17,0,Macon, Illinois
117,0,0,17,0,Macoupin, Illinois
119,0,0,17,0,Madison, Illinois
121,0,0,17,0,Marion, Illinois
133,0,0,17,0,Monroe, Illinois
135,0,0,17,0,Montgomery, Illinois
137,0,0,17,0,Morgan, Illinois
141,0,0,17,0,Ogle, Illinois
143,0,0,17,0,Peoria, Illinois
145,0,0,17,0,Perry, Illinois
157,0,0,17,0,Randolph, Illinois
161,0,0,17,0,Rock Island, Illinois
163,0,0,17,0,St. Clair, Illinois
165,0,0,17,0,Saline, Illinois
167,0,0,17,0,Sangamon, Illinois
173,0,0,17,0,Shelby, Illinois
177,0,0,17,0,Stephenson, Illinois
179,0,0,17,0,Tazewell, Illinois
183,0,0,17,0,Vermilion, Illinois
195,0,0,17,0,Whiteside, Illinois
197,0,0,17,0,Will, Illinois
199,0,0,17,0,Williamson, Illinois
201,0,0,17,0,Winnebago, Illinois
203,0,0,17,0,Woodford, Illinois
1,0,0,18,0,Adams, Indiana
3,0,0,18,0,Allen, Indiana
5,0,0,18,0,Bartholomew, Indiana
11,0,0,18,0,Boone, Indiana
17,0,0,18,0,Cass, Indiana
19,0,0,18,0,Clark, Indiana
21,0,0,18,0,Clay, Indiana
23,0,0,18,0,Clinton, Indiana
27,0,0,18,0,Daviess, Indiana
29,0,0,18,0,Dearborn, Indiana
31,0,0,18,0,Decatur, Indiana
33,0,0,18,0,DeKalb, Indiana
35,0,0,18,0,Delaware, Indiana
37,0,0,18,0,Dubois, Indiana
39,0,0,18,0,Elkhart, Indiana
41,0,0,18,0,Fayette, Indiana
43,0,0,18,0,Floyd, Indiana
47,0,0,18,0,Franklin, Indiana
49,0,0,18,0,Fulton, Indiana
51,0,0,18,0,Gibson, Indiana
53,0,0,18,0,Grant, Indiana
55,0,0,18,0,Greene, Indiana
57,0,0,18,0,Hamilton, Indiana
59,0,0,18,0,Hancock, Indiana
61,0,0,18,0,Harrison, Indiana
63,0,0,18,0,Hendricks, Indiana
65,0,0,18,0,Henry, Indiana
67,0,0,18,0,Howard, Indiana
69,0,0,18,0,Huntington, Indiana
71,0,0,18,0,Jackson, Indiana
73,0,0,18,0,Jasper, Indiana
75,0,0,18,0,Jay, Indiana
77,0,0,18,0,Jefferson, Indiana
79,0,0,18,0,Jennings, Indiana
81,0,0,18,0,Johnson, Indiana
83,0,0,18,0,Knox, Indiana
85,0,0,18,0,Kosciusko, Indiana
87,0,0,18,0,LaGrange, Indiana
89,0,0,18,0,Lake, Indiana
91,0,0,18,0,LaPorte, Indiana
93,0,0,18,0,Lawrence, Indiana
95,0,0,18,0,Madison, Indiana
97,0,0,18,0,Marion, Indiana
99,0,0,18,0,Marshall, Indiana
103,0,0,18,0,Miami, Indiana
105,0,0,18,0,Monroe, Indiana
107,0,0,18,0,Montgomery, Indiana
109,0,0,18,0,Morgan, Indiana
113,0,0,18,0,Noble, Indiana
119,0,0,18,0,Owen, Indiana
127,0,0,18,0,Porter, Indiana
129,0,0,18,0,Posey, Indiana
133,0,0,18,0,Putnam, Indiana
135,0,0,18,0,Randolph, Indiana
137,0,0,18,0,Ripley, Indiana
141,0,0,18,0,St. Joseph, Indiana
143,0,0,18,0,Scott, Indiana
145,0,0,18,0,Shelby, Indiana
147,0,0,18,0,Spencer, Indiana
149,0,0,18,0,Starke, Indiana
151,0,0,18,0,Steuben, Indiana
153,0,0,18,0,Sullivan, Indiana
157,0,0,18,0,Tippecanoe, Indiana
163,0,0,18,0,Vanderburgh, Indiana
167,0,0,18,0,Vigo, Indiana
169,0,0,18,0,Wabash, Indiana
173,0,0,18,0,Warrick, Indiana
175,0,0,18,0,Washington, Indiana
177,0,0,18,0,Wayne, Indiana
179,0,0,18,0,Wells, Indiana
181,0,0,18,0,White, Indiana
183,0,0,18,0,Whitley, Indiana
11,0,0,19,0,Benton, Iowa
13,0,0,19,0,Black Hawk, Iowa
15,0,0,19,0,Boone, Iowa
17,0,0,19,0,Bremer, Iowa
19,0,0,19,0,Buchanan, Iowa
27,0,0,19,0,Carroll, Iowa
33,0,0,19,0,Cerro Gordo, Iowa
45,0,0,19,0,Clinton, Iowa
49,0,0,19,0,Dallas, Iowa
57,0,0,19,0,Des Moines, Iowa
61,0,0,19,0,Dubuque, Iowa
65,0,0,19,0,Fayette, Iowa
87,0,0,19,0,Henry, Iowa
97,0,0,19,0,Jackson, Iowa
99,0,0,19,0,Jasper, Iowa
103,0,0,19,0,Johnson, Iowa
105,0,0,19,0,Jones, Iowa
111,0,0,19,0,Lee, Iowa
113,0,0,19,0,Linn, Iowa
123,0,0,19,0,Mahaska, Iowa
125,0,0,19,0,Marion, Iowa
127,0,0,19,0,Marshall, Iowa
139,0,0,19,0,Muscatine, Iowa
149,0,0,19,0,Plymouth, Iowa
153,0,0,19,0,Polk, Iowa
155,0,0,19,0,Pottawattamie, Iowa
163,0,0,19,0,Scott, Iowa
167,0,0,19,0,Sioux, Iowa
169,0,0,19,0,Story, Iowa
179,0,0,19,0,Wapello, Iowa
181,0,0,19,0,Warren, Iowa
183,0,0,19,0,Washington, Iowa
187,0,0,19,0,Webster, Iowa
191,0,0,19,0,Winneshiek, Iowa
193,0,0,19,0,Woodbury, Iowa
9,0,0,20,0,Barton, Kansas
15,0,0,20,0,Butler, Kansas
21,0,0,20,0,Cherokee, Kansas
35,0,0,20,0,Cowley, Kansas
37,0,0,20,0,Crawford, Kansas
45,0,0,20,0,Douglas, Kansas
51,0,0,20,0,Ellis, Kansas
55,0,0,20,0,Finney, Kansas
57,0,0,20,0,Ford, Kansas
59,0,0,20,0,Franklin, Kansas
61,0,0,20,0,Geary, Kansas
79,0,0,20,0,Harvey, Kansas
91,0,0,20,0,Johnson, Kansas
99,0,0,20,0,Labette, Kansas
103,0,0,20,0,Leavenworth, Kansas
111,0,0,20,0,Lyon, Kansas
113,0,0,20,0,McPherson, Kansas
121,0,0,20,0,Miami, Kansas
125,0,0,20,0,Montgomery, Kansas
155,0,0,20,0,Reno, Kansas
161,0,0,20,0,Riley, Kansas
169,0,0,20,0,Saline, Kansas
173,0,0,20,0,Sedgwick, Kansas
175,0,0,20,0,Seward, Kansas
177,0,0,20,0,Shawnee, Kansas
191,0,0,20,0,Sumner, Kansas
209,0,0,20,0,Wyandotte, Kansas
5,0,0,21,0,Anderson, Kentucky
9,0,0,21,0,Barren, Kentucky
13,0,0,21,0,Bell, Kentucky
15,0,0,21,0,Boone, Kentucky
19,0,0,21,0,Boyd, Kentucky
21,0,0,21,0,Boyle, Kentucky
29,0,0,21,0,Bullitt, Kentucky
35,0,0,21,0,Calloway, Kentucky
37,0,0,21,0,Campbell, Kentucky
43,0,0,21,0,Carter, Kentucky
47,0,0,21,0,Christian, Kentucky
49,0,0,21,0,Clark, Kentucky
51,0,0,21,0,Clay, Kentucky
59,0,0,21,0,Daviess, Kentucky
67,0,0,21,0,Fayette, Kentucky
71,0,0,21,0,Floyd, Kentucky
73,0,0,21,0,Franklin, Kentucky
81,0,0,21,0,Grant, Kentucky
83,0,0,21,0,Graves, Kentucky
85,0,0,21,0,Grayson, Kentucky
89,0,0,21,0,Greenup, Kentucky
93,0,0,21,0,Hardin, Kentucky
95,0,0,21,0,Harlan, Kentucky
101,0,0,21,0,Henderson, Kentucky
107,0,0,21,0,Hopkins, Kentucky
111,0,0,21,0,Jefferson, Kentucky
113,0,0,21,0,Jessamine, Kentucky
115,0,0,21,0,Johnson, Kentucky
117,0,0,21,0,Kenton, Kentucky
121,0,0,21,0,Knox, Kentucky
125,0,0,21,0,Laurel, Kentucky
133,0,0,21,0,Letcher, Kentucky
137,0,0,21,0,Lincoln, Kentucky
141,0,0,21,0,Logan, Kentucky
145,0,0,21,0,McCracken, Kentucky
151,0,0,21,0,Madison, Kentucky
157,0,0,21,0,Marshall, Kentucky
163,0,0,21,0,Meade, Kentucky
167,0,0,21,0,Mercer, Kentucky
173,0,0,21,0,Montgomery, Kentucky
177,0,0,21,0,Muhlenberg, Kentucky
179,0,0,21,0,Nelson, Kentucky
183,0,0,21,0,Ohio, Kentucky
185,0,0,21,0,Oldham, Kentucky
193,0,0,21,0,Perry, Kentucky
195,0,0,21,0,Pike, Kentucky
199,0,0,21,0,Pulaski, Kentucky
205,0,0,21,0,Rowan, Kentucky
209,0,0,21,0,Scott, Kentucky
211,0,0,21,0,Shelby, Kentucky
217,0,0,21,0,Taylor, Kentucky
227,0,0,21,0,Warren, Kentucky
231,0,0,21,0,Wayne, Kentucky
235,0,0,21,0,Whitley, Kentucky
239,0,0,21,0,Woodford, Kentucky
1,0,0,22,0,Acadia Parish, Louisiana
3,0,0,22,0,Allen Parish, Louisiana
5,0,0,22,0,Ascension Parish, Louisiana
7,0,0,22,0,Assumption Parish, Louisiana
9,0,0,22,0,Avoyelles Parish, Louisiana
11,0,0,22,0,Beauregard Parish, Louisiana
15,0,0,22,0,Bossier Parish, Louisiana
17,0,0,22,0,Caddo Parish, Louisiana
19,0,0,22,0,Calcasieu Parish, Louisiana
31,0,0,22,0,De Soto Parish, Louisiana
33,0,0,22,0,East Baton Rouge Parish, Louisiana
37,0,0,22,0,East Feliciana Parish, Louisiana
39,0,0,22,0,Evangeline Parish, Louisiana
41,0,0,22,0,Franklin Parish, Louisiana
45,0,0,22,0,Iberia Parish, Louisiana
47,0,0,22,0,Iberville Parish, Louisiana
51,0,0,22,0,Jefferson Parish, Louisiana
53,0,0,22,0,Jefferson Davis Parish, Louisiana
55,0,0,22,0,Lafayette Parish, Louisiana
57,0,0,22,0,Lafourche Parish, Louisiana
61,0,0,22,0,Lincoln Parish, Louisiana
63,0,0,22,0,Livingston Parish, Louisiana
67,0,0,22,0,Morehouse Parish, Louisiana
69,0,0,22,0,Natchitoches Parish, Louisiana
71,0,0,22,0,Orleans Parish, Louisiana
73,0,0,22,0,Ouachita Parish, Louisiana
75,0,0,22,0,Plaquemines Parish, Louisiana
77,0,0,22,0,Pointe Coupee Parish, Louisiana
79,0,0,22,0,Rapides Parish, Louisiana
83,0,0,22,0,Richland Parish, Louisiana
85,0,0,22,0,Sabine Parish, Louisiana
89,0,0,22,0,St. Charles Parish, Louisiana
93,0,0,22,0,St. James Parish, Louisiana
95,0,0,22,0,St. John the Baptist Parish, Louisiana
97,0,0,22,0,St. Landry Parish, Louisiana
99,0,0,22,0,St. Martin Parish, Louisiana
101,0,0,22,0,St. Mary Parish, Louisiana
103,0,0,22,0,St. Tammany Parish, Louisiana
105,0,0,22,0,Tangipahoa Parish, Louisiana
109,0,0,22,0,Terrebonne Parish, Louisiana
111,0,0,22,0,Union Parish, Louisiana
113,0,0,22,0,Vermilion Parish, Louisiana
115,0,0,22,0,Vernon Parish, Louisiana
117,0,0,22,0,Washington Parish, Louisiana
119,0,0,22,0,Webster Parish, Louisiana
121,0,0,22,0,West Baton Rouge Parish, Louisiana
